"Family Name First","Forename First","Birth Date","Death Date","Age","Memorized"
"ALLEGRI, Gregorio","Gregorio Allegri","1582","1652","70",""
"ARNOLD, Malcolm Henry","Sir Malcolm Henry Arnold","1921","2006","85",""
"BACH, Carl Philipp Emanuel","Carl Philipp Emánuel Bach","1714","1788","74",""
"BACH, Johann Christian","Johann Christian Bach","1735","1782","47",""
"BACH, Johann Christoph Friedrich","Johann Christoph Friedrich Bach","1732","1795","63",""
"BACH, Johann Ernst","Johann Ernst Bach","1722","1777","55",""
"BACH, Johann Sebastian","Johann Sebastian Bach","1685","1750","65","Y"
"BACH, Wilhelm Friedemann","Wilhelm Friedemann Bach","1710","1784","74",""
"BARTOK, Béla","Béla Bartók","1881","1945","64",""
"BEETHOVEN, Ludwig van","Ludwig Van Beethoven","1770","1827","57","Y"
"BERLIOZ, Louis-Hector","Hector Berlioz","1803","1869","66","Y"
"BERNSTEIN, Leonard","Leonard Bernstein","1918","1990","72",""
"BIZET, Georges Alexandre-César-Leopold","Georges Alexandre-César-Leopold Bizet","1838","1875","37",""
"BORODIN, Alexander Porfir'yevich","Alexander Borodin","1833","1887","54","Y"
"BRAHMS, Johannes","Johannes Brahms","1833","1897","64","Y"
"BRITTEN, Lord Benjamin","Benjamin Britten","1913","1976","63",""
"BRUCKNER, Anton Joseph","Anton Bruckner","1824","1896","72",""
"BURGMULLER, Norbert","Norbert Burgmüller","1810","1836","26",""
"BYRD, William","William Byrd","1543","1623","80",""
"CAGE, John","John Cage","1912","1992","80",""
"CHERUBINI, Maria Luigi Carlo Zenobio Salvatore","Luigi Cherubini","1760","1842","82",""
"CHOPIN, Frédéric François","Frédéric Chopin","1810","1849","39","Y"
"CLEMENTI, Muzio","Muzio Clementi","1752","1832","80",""
"COPLAND, Aaron","Aaron Copland","1900","1990","90",""
"COUPERIN, Armand-Louis","Armand-Louis Couperin","1727","1789","62",""
"COUPERIN, François","François Couperin","1668","1733","65",""
"COUPERIN, Louis","Louis Couperin","1626","1661","35",""
"CZERNY, Carl","Carl Czerny","1791","1857","66",""
"DEBUSSY, Achille-Claude","Claude Debussy","1862","1918","56",""
"DELIBES, Clement-Philibert-Léo","Clement-Philibert-Léo Delibes","1836","1891","55",""
"DELIUS, Frederick (Fritz Theodor Albert","Frederick (Fritz Theodor Albert Delius","1862","1934","72",""
"DONIZETTI, Domenico Gaetano Maria","Domenico Gaetano Maria Donizetti","1797","1848","51",""
"DVORAK, Antonín","Antonín Dvorák","1841","1904","63","Y"
"ELGAR, Sir Edward William","Edward Elgar","1857","1934","77","Y"
"FAURE, Gabriel-Urbain","Gabriel-Urbain Fauré","1845","1924","79",""
"GERSHWIN, George","George Gershwin","1898","1937","39",""
"GILBERT, Sir William Schwenck","Sir William Schwenck Gilbert","1836","1911","75",""
"GRAINGER, Percy Aldridge","Percy Aldridge Grainger","1882","1961","79",""
"GRIEG, Edvard Hagerup","Edvard Grieg","1843","1907","64",""
"GROSSIN, Etienne","Etienne Grossin","1450","1475","25",""
"HANDEL, George Frideric","George Frideric Handel","1685","1759","74","Y"
"HAYDN, Franz Joseph","Joseph Haydn","1732","1809","77","Y"
"HERRMANN, Bernard","Bernard Herrmann","1911","1975","64",""
"HERSHEL, Sir William Friedrich Wilhelm","Sir William Friedrich Wilhelm Hershel","1738","1822","84",""
"HOLST, Gustav Theodore","Gustav Holst","1874","1934","60",""
"HUMPERDINCK, Engelbert","Engelbert Humperdinck","1854","1921","67",""
"JANACEK, Leoš","Leoš Janácek","1854","1928","74",""
"KODALY, Zoltán","Zoltán Kodály","1882","1967","85",""
"LISZT, Franz","Franz Liszt","1811","1886","75","Y"
"LLOYD WEBBER, Andrew","Andrew Lloyd Webber","1948","","-1948",""
"LOCATELLI, Pietro-Antonio","Pietro-Antonio Locatelli","1695","1764","69",""
"MAHLER, Gustav","Gustav Mahler","1860","1911","51",""
"MASSENET, Jules-Émile-Frédéric","Jules-Émile-Frédéric Massenet","1842","1912","70",""
"MENDELSSOHN, Jacob Ludwig Felix","Felix Mendelssohn","1809","1847","38","Y"
"MESSIAEN, Olivier","Olivier Messiaen","1908","1992","84",""
"MONTEVERDI, Claudio Giovanni Antonio","Claudio Giovanni Antonio Monteverdi","1567","1643","76",""
"MOZART, Johann Georg Leopold","Johann Georg Leopold Mozart","1719","1787","68",""
"MOZART, Johannes Chrysostomus Wolfgangus Theophilus","Wolfgang Amadeus Mozart","1756","1791","35","Y"
"MUSSORGSKY, Modest Petrovich","Modest Mussorgsky","1839","1881","42","Y"
"OFFENBACH, Jacques","Jacques Offenbach","1819","1880","61",""
"PACHELBEL, Johann","Johann Pachelbel","1653","1706","53",""
"PADEREWSKI, Ignacy Jan","Ignacy Jan Paderewski","1860","1941","81",""
"PAGANINI, Niccolò","Niccolò Paganini","1782","1840","58",""
"PALESTRINA, Giovanni Pierluigi da","Giovanni Pierluigi da Palestrina","1525","1594","69",""
"POULENC, Francis","Francis Poulenc","1899","1963","64",""
"PROKOFIEV, Sergei Sergeyevich","Sergei Sergeyevich Prokofiev","1891","1953","62",""
"PUCCINI, Giacomo","Giacomo Puccini","1858","1924","66","Y"
"PURCELL, Henry","Henry Purcell","1659","1695","36","Y"
"RACHMANINOFF, Sergei Vasilievitch","Sergei Vasilievitch Rachmaninoff","1873","1943","70",""
"RAMEAU, Jean-Philippe","Jean-Philippe Rameau","1683","1764","81",""
"RAVEL, Joseph Maurice","Maurice Ravel","1875","1937","62",""
"RESPIGHI, Ottorino","Ottorino Respighi","1879","1936","57",""
"RIMSKY-KORSAKOV, Nikolai","Nikolai Rimsky-Korsakov","1844","1908","64",""
"RODGERS, Richard","Richard Rodgers","1902","1979","77",""
"ROSSINI, Gioachino Antonio","Gioachino Antonio Rossini","1792","1868","76",""
"ROSETTI, Antonio","Antonio Rosetti (František Antonín Rössler ","1750","1792","42",""
"SAINT-SAENS, Charles-Camille","Charles-Camille Saint-Saëns","1835","1921","86",""
"SALIERI, Antonio","Antonio Salieri","1750","1825","75","Y"
"SATIE, Érik Alfred-Leslie","Érik Alfred-Leslie Satie","1866","1925","59",""
"SCARLATTI, Giuseppe Domenico","Domenico Scarlatti","1685","1757","72","Y"
